Min latency (ns),Median latency (ns),p99 latency (ns),p999 latency (ns),rpc_rate (rpc/sec), set_rpc_rate
5095,5452,7948,665808,342962,300000
5095,5479,7967,665808,344782,300000
5095,5505,8068,2352999,340510,300000
5095,5525,8035,1352057,341081,300000
5095,5525,8059,1355451,342370,300000
5095,5526,7971,13123,341062,300000
5095,5527,7981,13170,340874,300000
5095,5526,7975,11921,340780,300000
5095,5526,7960,10059,342431,300000
5095,5526,7973,11772,340862,300000
5095,5527,7962,10178,341224,300000
5095,5527,7970,12183,340766,300000
5095,5528,7954,10064,340281,300000
5095,5526,7967,11738,342563,300000
5095,5525,7948,9921,338968,300000
5095,5524,7960,11580,339019,300000
5095,5525,7948,9911,341238,300000
5095,5527,7967,12603,341302,300000
5095,5526,7956,10053,341242,300000
5095,5526,7957,10018,341351,300000
5095,5525,7942,9552,342905,300000
5095,5526,7960,10104,339255,300000
5095,5528,7958,9984,341129,300000
5095,5528,7968,12084,341246,300000
5095,5528,7957,10047,341178,300000
5095,5526,7970,12345,340725,300000
5095,5525,7960,10047,341214,300000
5333,8557,33954,33954,23,600000
5123,5459,8114,10073,573944,600000
5123,5470,8187,313113,632465,600000
5123,5500,8143,9866,673295,600000
5123,5500,8205,17126,672802,600000
5123,5499,8149,10026,671837,600000
5123,5503,8317,1298972,670000,600000
5123,5501,8164,9898,668036,600000
5123,5500,8212,60141,668809,600000
5123,5500,8132,9914,670269,600000
5123,5502,8216,39135,664934,600000
5123,5502,8217,38161,667992,600000
5123,5502,8193,13956,668627,600000
5123,5503,8202,39782,667967,600000
5123,5501,8200,43303,671330,600000
5123,5503,8220,21787,668112,600000
5123,5502,8134,9978,668792,600000
5123,5502,8201,44330,667990,600000
5123,5501,8144,9872,670126,600000
5123,5503,8196,13734,664565,600000
5123,5503,8141,9923,667671,600000
5123,5501,8192,12788,668485,600000
5123,5501,8189,10418,670971,600000
5123,5501,8207,17038,668706,600000
5123,5500,8195,15106,667833,600000
4177,5531,8527,11017,839504,900000
4177,5569,8886,1116127,962548,900000
4177,5575,8524,10598,993392,900000
4177,5578,8589,216832,996789,900000
4177,5578,8587,283941,992752,900000
4177,5576,8593,280704,993106,900000
4177,5578,8577,250767,990640,900000
4177,5584,8612,271796,989950,900000
4177,5581,8584,323698,994484,900000
4177,5579,8579,386448,989575,900000
4177,5583,8583,275807,989480,900000
4177,5578,8574,275807,989696,900000
4177,5579,8586,327117,992264,900000
4177,5580,8589,977080,989141,900000
4175,5578,8600,318206,989017,900000
4175,5578,8580,1831511,992387,900000
4302,14156,35358,35358,27,1300000
4234,5507,8931,268527,1.17686e+06,1300000
4234,5515,8831,11213,1.40334e+06,1300000
4234,5514,8829,11119,1.39981e+06,1300000
4234,5515,8997,1954272,1.39922e+06,1300000
4234,5511,8847,11714,1.39483e+06,1300000
5879,1634208,11802157,11994292,292108,300000
5879,1700213,11810339,11995356,305093,300000
5879,1747982,11817675,11999975,316778,300000
5879,1793726,11836337,12033769,326882,300000
5879,1789250,11836233,12070892,333890,300000
5879,1783001,11859319,13787313,333158,300000
5879,1731780,11842748,13138020,329780,300000
5879,1761295,11843182,13138020,332855,300000
5879,1747079,11815155,11997437,329872,300000
229775355443484,229775688746229,229775688746229,229775688746229,3,3
229775355443484,229776355433168,229777022095651,229777022095651,5,3
229775355443484,229776688764264,229778022088967,229778022088967,4,3
229775355443484,229777355426736,229779022089015,229779022089015,4,3
229775355443484,229779688751399,229777355426736,229777355426736,4,3
229775355443484,229780355419111,229778022088967,229778022088967,4,3
229775355443484,229780688752500,229778355420258,229778355420258,4,3
229775355443484,229781355411909,229779022089015,229779022089015,4,3
229775355443484,229776355433168,229779355420063,229779355420063,4,3
229775355443484,229784355397352,229782355405511,229782355405511,4,3
229775355443484,229776355433168,229783022082020,229783022082020,4,3
229775355443484,229777022095651,229784022065940,229784022065940,4,3
229775355443484,229783688734723,229778022088967,229778022088967,4,3
229775355443484,229780022082450,229778355420258,229778355420258,4,3
229877661279778,229877994600158,229878327939402,229878327939402,4,3
229877661279778,229878661284602,229879327955425,229879327955425,4,3
229877661279778,229878994615876,229880327940457,229880327940457,5,3
229877661279778,229879327955425,229881327940273,229881327940273,4,3
229877661279778,229878327939402,229880327940457,229880327940457,4,3
229877661279778,229878327939402,229879994609417,229879994609417,4,3
229877661279778,229882994600922,229880661271636,229880661271636,4,3
229877661279778,229883327932001,229885327923634,229885327923634,4,3
229877661279778,229877994600158,229880327940457,229880327940457,5,3
229877661279778,229883661263158,229887327915604,229887327915604,5,3
229877661279778,229887661255553,229886661248038,229886661248038,4,3
229877661279778,229878994615876,229885994585951,229885994585951,4,3
229877661279778,229879327955425,229886661248038,229886661248038,4,3
229877661279778,229887994586874,229886661248038,229886661248038,4,3
229877661279778,229879994609417,229887994586874,229887994586874,3,3
229877661279778,229887994586874,11357063083449991757,11357063083449991757,2,3
229877661279778,11357063080450008665,10636836741616995149,10636836741616995149,3,3
231901394336073,231901727648222,231902060978848,231902060978848,4,3
231901394336073,231902394340521,231903060995480,231903060995480,4,3
231901394336073,231902727664128,231904060988976,231904060988976,5,3
231901394336073,231901727648222,231903727657929,231903727657929,4,3
231901394336073,10636838750775411889,231903394326711,231903394326711,4,3
231901394336073,231906060982838,231903727657929,231903727657929,4,3
231901394336073,231902060978848,231908060975188,231908060975188,4,3
231901394336073,231902394340521,231909060973880,231909060973880,4,3
231901394336073,231902394340521,231905394320399,231905394320399,4,3
231901394336073,231911060965817,231905727651626,231905727651626,4,3
231901394336073,231910727629891,231909060973880,231909060973880,4,3
231901394336073,231902727664128,231909727636174,231909727636174,4,3
231901394336073,231909727636174,231904060988976,231904060988976,4,3
231901394336073,231901394336073,231904060988976,231904060988976,4,3
231943419879852,231943919925389,231944409972345,231944418977649,1001,1000
231943419879852,231944420973306,231945402071956,231945420073279,1004,1000
231943419879852,231944922035196,231946394151426,231946421153662,1003,1000
231943419879852,231945423073525,231947386378879,231947422381700,1003,1000
231943419879852,231948072431235,231945874108158,231945919111593,1003,1000
231943419879852,231944277962345,231946365149390,231946419153362,1004,1000
231943419879852,231949073513650,231946856338299,231946919343000,1004,1000
231943419879852,231949574551946,231947347375808,231947419381666,1003,1000
231943419879852,231944653014674,231952347768645,231952428774609,1003,1000
231943419879852,231949324533018,231953340844259,231953430851022,1005,1000
231943419879852,231953224835306,231951576703942,231951675711704,1002,1000
231943419879852,231949431540857,231952319766368,231952427774499,1004,1000
231943419879852,231949583552582,231952547783578,231952658792147,309,1000
231943419879852,231949583552582,231952547783578,231952658792147,2,1000
231943419879852,231945289063411,231952548783649,231952659792105,3,1000
231943419879852,231949585552781,231952551783843,231952662792237,3,1000
231943419879852,231949585552781,231952552783931,231952663792453,2,1000
231943419879852,231945293063558,231952563784832,231952674793253,3,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,2,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,10636839281057451837,10636839281057451837,10636839281057451837,1,1000
10636839281057451837,11357065631964832315,10636839281057451837,10636839281057451837,7,1000
10636839281057451837,11357065631965719101,11357065632961969503,11357065632961969503,1,1000
10636839281057451837,11357065631965719101,11357065633961888928,11357065633961888928,2,1000
16709,232510919605744,17207,17207,23,1000
16709,232510919605744,232510926593357,232510926593357,2,1000
16709,232510919605528,17207,17207,2,1000
7375,10636841022106387888,10636841022106387888,10636841022106387888,7,1000
6147,34049,234175573853620,10636841022106387888,202,1000
6147,34049,234175573853620,10636841022106387888,1,1000
6147,41025,234175573853620,10636841022106387888,2,1000
6147,41025,234175573854660,10636841022106387888,2,1000
6147,48408,10636841022106387888,10636841028079696933,3,1000
6147,234175540833417,234175571840899,234175573854660,3,1000
6147,41025,234175573854660,10636841022106387888,4,1000
6147,177978,11357067368705250949,11357067369705353904,3,1000
6147,234175540827846,234175573854660,11357067373704619811,2,1000
239642589587629,239643088624059,239643578681694,239643587682521,3997,1000
239642589587629,239643592682712,239644574767173,239644592768359,4029,1000
239642589587629,239644093728543,239645566843299,239645593845393,4009,1000
239642589587629,239644594768183,239646559926384,239646595929149,4013,1000
239642589587629,239647243978588,239645045802920,239645090806666,4013,1000
239642589587629,239643450667386,239645537840731,239645591844871,4013,1000
239642589587629,239648247061260,239646029885321,239646092890364,4018,1000
239642589587629,239643986720347,239646063888184,239646127892814,283,1000
239642589587629,239648282063558,239646064888178,239646127893054,2,1000
239642589587629,239648282063558,239646064888178,239646128892835,4,1000
239732951686021,239732951686021,239732951686021,239732951686021,3,1000
239732951686021,11357072924078538387,239732951686021,239732951686021,8,1000
239732951686021,11357072924079538543,11357072926072753751,11357072926072753751,2,1000
239732951686021,11357072924079538543,11357072927072830118,11357072927072830118,2,1000
239811602786235,239812102824274,239812592866701,239812601867319,1001,1000
239811602786235,239812604867754,239813585966629,239813603967485,1005,1000
239811602786235,239813105930140,239814578043007,239814605044482,1003,1000
239811602786235,239813606967876,239815570126836,239815606129444,1003,1000
239811602786235,239811959806454,239814057002450,239814102006057,1004,1000
239811602786235,239812460856621,239814548040405,239814602044420,1003,1000
239811602786235,239817256272772,239815039085928,239815102090858,1003,1000
239811602786235,239817758311814,239815531123522,239815603129117,1004,1000
239811602786235,239817131249789,239820531530628,239820612536689,1003,1000
239811602786235,239812094823391,239818691383384,239818778390395,564,1000
239811602786235,239812094823391,239818692383485,239818779390174,2,1000
239811602786235,239812095823334,239818693383602,239818780390220,2,1000
240002763642017,240002763721257,240002763805580,240002763807581,73,1000000
240002763642017,240003269365232,240003759258108,240003768062719,924951,1000000
240002763642017,240004299588424,240004818029438,240004827554509,993675,1000000
240002763642017,240005359469684,240005878065736,240005887586041,997915,1000000
240002763642017,240006407196346,240006925623794,240006935146233,999211,1000000
240002763642017,240007460282280,240007978741290,240007988264795,995389,1000000
240002763642017,240008517970274,240009036387752,240009045907483,994491,1000000
240002763642017,240009568614546,240010087014534,240010096542231,997979,1000000
240002763642017,240010628297274,240011146733352,240011156255450,994651,1000000
240002763642017,240011677365019,240012195795914,240012205320184,998520,1000000
240002763642017,240012729678479,240013248142147,240013257665922,994626,1000000
240002763642017,240013786825785,240014305240566,240014314764941,994603,1000000
240002763642017,240013962569002,240014480995018,240014490513981,172149,1000000
240002763642017,240013962569002,240014480995018,240014490513981,3,1000000
241358352446087,241358353434423,241358358418235,241358358418235,26,1000
241358352446087,241358353434423,241358358418235,241358358418235,3,1000
241475805844910,241475827810659,241475866818057,241475866818057,61,1000
241475805844910,241475827810659,241475866818057,241475866818057,1,1000
242191778676314,242192278725945,242192768777586,242192777778514,1002,1000
242191778676314,242192780778833,242193761877787,242193779879100,1004,1000
242191778676314,242193280840812,242194752954130,242194779956313,1003,1000
242191778676314,242193781879261,242195745038142,242195781041129,1004,1000
242191778676314,242194282917797,242196737114203,242196782117666,1003,1000
242191778676314,242194782956447,242197729298372,242197783302640,1003,1000
242191778676314,242197432275673,242195213997827,242195277002675,1003,1000
242191778676314,242197932314130,242195705035423,242195777040647,1003,1000
242191778676314,242193901888417,242195993057205,242196041061078,530,1000
242191778676314,242193902888389,242200288499253,242196042061104,2,1000
242191778676314,242193902888389,242195994057278,242196043061188,2,1000
242191778676314,242193903888519,242195995057395,242196045061357,2,1000
242191778676314,242193903888519,242200290500985,242196046061356,2,1000
11357076971111194091,11357076971111194091,11357076971111194091,11357076971111194091,2,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,2,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,1,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,1,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,1,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,2,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,2,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,2,1
10127312883820252588,10127312883820252588,10127312883820252588,10127312883820252588,2,1
10127312883820252588,10127312887823286958,10127312883820252588,10127312883820252588,3,1
10127312883820252588,11357077069944732165,10127312883820252588,10127312883820252588,3,1
10127312883820252588,10127312883820252588,10127312893828250176,10127312893828250176,3,1
10127312883820252588,10127312883820252588,11357077071944715903,11357077071944715903,3,1
10127312883820252588,11357077070944726617,11357077072944719774,11357077072944719774,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,10127312893828250176,11357077074944707156,11357077074944707156,4,1
10127312883820252588,11357077074944707156,11357077072944719774,11357077072944719774,6,1
10127312883820252588,10127312893828250176,11357077073944713184,11357077073944713184,4,1
10127312883820252588,10127312893828250176,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,4,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,2,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,2,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,3,1
10127312883820252588,11357077070944726617,11357077073944713184,11357077073944713184,2,1
10127312883820252588,10127312901834841100,11357077076944692379,11357077076944692379,2,1
10127312883820252588,10127312901834841100,11357077076944692379,11357077076944692379,2,1
10127312883820252588,10127312901834841100,11357077076944692379,11357077076944692379,2,1
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,2,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,1,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,2,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,1,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,1,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,1,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,1,4
10127331422245009494,10127331422245009494,10127331422245009494,10127331422245009494,1,4
262490779477827,262490779477827,262490779477827,262490779477827,2,4
262488021229209,262488271189989,262488771181532,262488771181532,5,4
262488021229209,262489771176051,262488521180982,262488521180982,5,4
262488021229209,262490779477827,262489271190247,262489271190247,6,4
262488021229209,262490771156939,262488521180982,262488521180982,5,4
262488021229209,262491271146138,262488771181532,262488771181532,5,4
262488021229209,262492021135948,262493771106196,262493771106196,5,4
262488021229209,262492521123029,262494771084734,262494771084734,5,4
262488021229209,262490021170429,262488521180982,262488521180982,5,4
262488021229209,262491521144359,262494271112651,262494271112651,5,4
262488021229209,262492271129165,262495021078520,262495021078520,5,4
262488021229209,262494021100994,262488771181532,262488771181532,4,4
262488021229209,262490779477827,262493521107486,262493521107486,4,4
262488021229209,262500020982470,262494021100994,262494021100994,4,4
262488021229209,262492021135948,262494521089492,262494521089492,5,4
262488021229209,262492521123029,262495021078520,262495021078520,5,4
262488021229209,262498021041092,262488521180982,262488521180982,5,4
262488021229209,262492021135948,262500270977203,262500270977203,4,4
262488021229209,262492021135948,262503270916355,262503270916355,5,4
262488021229209,262490271166035,262494521089492,262494521089492,5,4
262488021229209,262490771156939,262494771084734,262494771084734,5,4
262488021229209,262490271166035,262506020865993,262506020865993,5,4
262488021229209,262490771156939,262506770849074,262506770849074,5,4
262488021229209,262495271072758,262507770826507,262507770826507,5,4
262488021229209,262509020800125,262508520810527,262508520810527,5,4
262488021229209,262504020904886,262502770929495,262503020922647,5,4
262488021229209,262500270977203,262503520919501,262503770908253,5,4
262488021229209,262492271129165,262504020904886,262504270899765,5,4
262488021229209,262492521123029,262504520892089,262504770886447,4,4
262488021229209,262510020779611,262505020901089,262505270876156,5,4
262488021229209,262493021111395,262505270876156,262505520878061,2,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,1,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
10127336543129992926,10127336543129992926,10127336543129992926,10127336543129992926,0,4
