min_latency,p50_latency,p99_latency,p999_latency,rpc_rate,set_rpc_rate
4382,8460,18450,36043,1.36321e+06,3500000
4354,8852,17050,23228,3.12027e+06,3500000
4354,9751,19590,24029,3.11167e+06,3500000
4354,9696,15417,23431,3.09787e+06,3500000
4354,9774,18039,25399,3.10393e+06,3500000
4354,9840,21128,27670,3.10421e+06,3500000
4354,9764,20343,53887,3.10516e+06,3500000
4354,9765,21187,52541,3.09618e+06,3500000
4354,9801,22820,72560,3.10189e+06,3500000
4354,9775,20580,24268,3.09608e+06,3500000
4354,9727,18522,23619,3.10306e+06,3500000
4354,9796,19979,24460,3.09905e+06,3500000
4354,9767,19167,23929,3.10536e+06,3500000
4354,9768,19407,24027,3.09994e+06,3500000
4354,9758,20397,49290,3.09963e+06,3500000
4354,9795,21287,65542,3.10397e+06,3500000
4354,9727,19667,52441,3.09634e+06,3500000
4354,9728,18649,29212,3.09702e+06,3500000
4354,9749,19688,24218,3.10398e+06,3500000
